opinion_param_1,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.05,3.0,0.0,11.7,1.4866068747318506,0.0,1.0,0.0,0.0
0.01,0.1,3.0,0.0,12.8,3.3105890714493698,0.0,1.0,0.0,0.0
0.01,0.2,3.0,0.0,12.7,1.7916472867168918,0.0,1.0,0.0,0.0
0.01,0.3,3.0,0.0,12.9,2.5475478405713994,0.0,1.0,0.0,0.0
0.01,0.4,3.0,0.0,12.4,2.8354893757515653,0.0,1.0,0.0,0.0
0.01,0.5,3.0,0.0,12.6,2.0591260281974,0.0,1.0,0.0,0.0
0.01,0.6,3.0,0.0,11.4,2.2891046284519194,0.0,1.0,0.0,0.0
0.01,0.7,3.0,0.0,13.1,2.7730849247724096,0.0,1.0,0.0,0.0
0.01,0.8,3.0,0.0,12.1,2.1656407827707715,0.0,1.0,0.0,0.0
0.01,0.9,3.0,0.0,11.6,2.939387691339814,0.0,1.0,0.0,0.0
0.05,0.05,3.0,0.0,12.1,3.6180105030251086,0.0,1.0,0.0,0.0
0.05,0.1,3.0,0.0,11.1,2.071231517720798,0.0,1.0,0.0,0.0
0.05,0.2,3.0,0.0,11.6,2.4979991993593593,0.0,1.0,0.0,0.0
0.05,0.3,3.0,0.0,12.3,2.72213151776324,0.0,1.0,0.0,0.0
0.05,0.4,3.0,0.0,12.1,2.2561028345356955,0.0,1.0,0.0,0.0
0.05,0.5,3.0,0.0,12.2,1.9899748742132397,0.0,1.0,0.0,0.0
0.05,0.6,3.0,0.0,11.6,1.9595917942265426,0.0,1.0,0.0,0.0
0.05,0.7,3.0,0.0,11.9,2.773084924772409,0.0,1.0,0.0,0.0
0.05,0.8,3.0,0.0,11.6,2.1071307505705477,0.0,1.0,0.0,0.0
0.05,0.9,3.0,0.0,11.9,2.2561028345356955,0.0,1.0,0.0,0.0
0.1,0.05,3.0,0.0,12.8,3.789459064299283,0.0,1.0,0.0,0.0
0.1,0.1,3.0,0.0,11.9,3.047950130825634,0.0,1.0,0.0,0.0
0.1,0.2,3.0,0.0,11.5,1.5,0.0,1.0,0.0,0.0
0.1,0.3,3.0,0.0,12.0,2.32379000772445,0.0,1.0,0.0,0.0
0.1,0.4,3.0,0.0,11.9,2.7730849247724096,0.0,1.0,0.0,0.0
0.1,0.5,3.0,0.0,12.9,2.5079872407968904,0.0,1.0,0.0,0.0
0.1,0.6,3.0,0.0,12.5,2.0124611797498106,0.0,1.0,0.0,0.0
0.1,0.7,3.0,0.0,12.2,2.227105745132009,0.0,1.0,0.0,0.0
0.1,0.8,3.0,0.0,11.0,2.4083189157584592,0.0,1.0,0.0,0.0
0.1,0.9,3.0,0.0,11.4,1.3564659966250536,0.0,1.0,0.0,0.0
0.15,0.05,3.0,0.0,11.6,1.624807680927192,0.0,1.0,0.0,0.0
0.15,0.1,3.0,0.0,12.2,2.4413111231467406,0.0,1.0,0.0,0.0
0.15,0.2,3.0,0.0,11.8,2.315167380558045,0.0,1.0,0.0,0.0
0.15,0.3,3.0,0.0,13.1,3.3301651610693423,0.0,1.0,0.0,0.0
0.15,0.4,3.0,0.0,12.7,2.758622844826744,0.0,1.0,0.0,0.0
0.15,0.5,3.0,0.0,11.4,2.1071307505705477,0.0,1.0,0.0,0.0
0.15,0.6,3.0,0.0,11.8,2.039607805437114,0.0,1.0,0.0,0.0
0.15,0.7,3.0,0.0,11.9,2.4269322199023193,0.0,1.0,0.0,0.0
0.15,0.8,3.0,0.0,11.2,2.039607805437114,0.0,1.0,0.0,0.0
0.15,0.9,3.0,0.0,11.5,1.9621416870348585,0.0,1.0,0.0,0.0
0.2,0.05,3.0,0.0,11.2,2.0880613017821097,0.0,1.0,0.0,0.0
0.2,0.1,3.0,0.0,12.4,1.624807680927192,0.0,1.0,0.0,0.0
0.2,0.2,3.0,0.0,11.4,2.2891046284519194,0.0,1.0,0.0,0.0
0.2,0.3,3.0,0.0,11.6,2.009975124224178,0.0,1.0,0.0,0.0
0.2,0.4,3.0,0.0,12.2,2.481934729198171,0.0,1.0,0.0,0.0
0.2,0.5,3.0,0.0,11.6,1.9595917942265424,0.0,1.0,0.0,0.0
0.2,0.6,3.0,0.0,11.6,1.9595917942265424,0.0,1.0,0.0,0.0
0.2,0.7,3.0,0.0,11.7,1.7349351572897471,0.0,1.0,0.0,0.0
0.2,0.8,3.0,0.0,11.9,2.118962010041709,0.0,1.0,0.0,0.0
0.2,0.9,3.0,0.0,12.7,3.1,0.0,1.0,0.0,0.0
0.3,0.05,3.0,0.0,12.0,1.8439088914585775,0.0,1.0,0.0,0.0
0.3,0.1,3.0,0.0,11.4,1.624807680927192,0.0,1.0,0.0,0.0
0.3,0.2,3.0,0.0,11.5,1.5652475842498528,0.0,1.0,0.0,0.0
0.3,0.3,3.0,0.0,11.8,3.1559467676119,0.0,1.0,0.0,0.0
0.3,0.4,3.0,0.0,11.7,2.3259406699226015,0.0,1.0,0.0,0.0
0.3,0.5,3.0,0.0,12.4,2.1540659228538015,0.0,1.0,0.0,0.0
0.3,0.6,3.0,0.0,12.1,2.211334438749598,0.0,1.0,0.0,0.0
0.3,0.7,3.0,0.0,11.1,1.374772708486752,0.0,1.0,0.0,0.0
0.3,0.8,3.0,0.0,12.0,2.5298221281347035,0.0,1.0,0.0,0.0
0.3,0.9,3.0,0.0,12.2,2.1354156504062622,0.0,1.0,0.0,0.0
0.4,0.05,3.0,0.0,11.4,2.8,0.0,1.0,0.0,0.0
0.4,0.1,3.0,0.0,11.9,2.7367864366808017,0.0,1.0,0.0,0.0
0.4,0.2,3.0,0.0,11.9,1.972308292331602,0.0,1.0,0.0,0.0
0.4,0.3,3.0,0.0,11.7,2.4103941586387903,0.0,1.0,0.0,0.0
0.4,0.4,3.0,0.0,11.5,2.29128784747792,0.0,1.0,0.0,0.0
0.4,0.5,3.0,0.0,12.3,2.5317977802344327,0.0,1.0,0.0,0.0
0.4,0.6,3.0,0.0,12.6,2.727636339397171,0.0,1.0,0.0,0.0
0.4,0.7,3.0,0.0,11.4,1.42828568570857,0.0,1.0,0.0,0.0
0.4,0.8,3.0,0.0,11.3,1.9000000000000001,0.0,1.0,0.0,0.0
0.4,0.9,3.0,0.0,12.7,2.193171219946131,0.0,1.0,0.0,0.0
0.5,0.05,3.0,0.0,11.6,2.3748684174075834,0.0,1.0,0.0,0.0
0.5,0.1,3.0,0.0,12.0,2.280350850198276,0.0,1.0,0.0,0.0
0.5,0.2,3.0,0.0,11.5,2.692582403567252,0.0,1.0,0.0,0.0
0.5,0.3,3.0,0.0,11.7,2.0024984394500787,0.0,1.0,0.0,0.0
0.5,0.4,3.0,0.0,12.0,2.1908902300206643,0.0,1.0,0.0,0.0
0.5,0.5,3.0,0.0,11.0,2.04939015319192,0.0,1.0,0.0,0.0
0.5,0.6,3.0,0.0,11.1,2.662705391138869,0.0,1.0,0.0,0.0
