opinion_param_1,msg_param,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.01,1.0,11.0,2.0976176963403033,0.0,1.0,0.0,1.0
0.01,0.05,1.0,12.4,1.8,0.0,1.0,0.0,1.0
0.01,0.1,1.0,12.4,1.9595917942265426,0.0,1.0,0.0,1.0
0.01,0.2,1.0,12.5,2.0124611797498106,0.0,1.0,0.0,1.0
0.01,0.3,1.0,12.1,2.3430749027719964,0.0,1.0,0.0,1.0
0.01,0.4,1.0,10.9,1.8681541692269403,0.0,1.0,0.0,1.0
0.01,0.5,1.0,11.5,2.202271554554524,0.0,1.0,0.0,1.0
0.01,0.6,1.0,11.9,2.1656407827707715,0.0,1.0,0.0,1.0
0.01,0.7,1.0,11.8,1.6,0.0,1.0,0.0,1.0
0.01,0.8,1.0,11.5,1.8027756377319946,0.0,1.0,0.0,1.0
0.01,0.9,1.0,12.7,2.1470910553583886,0.0,1.0,0.0,1.0
0.05,0.01,1.0,12.2,2.315167380558045,0.0,1.0,0.0,1.0
0.05,0.05,1.0,12.3,2.5317977802344322,0.0,1.0,0.0,1.0
0.05,0.1,1.0,11.4,2.90516780926679,0.0,1.0,0.0,1.0
0.05,0.2,1.0,12.0,1.8973665961010275,0.0,1.0,0.0,1.0
0.05,0.3,1.0,11.7,1.4177446878757827,0.0,1.0,0.0,1.0
0.05,0.4,1.0,11.8,1.7776388834631178,0.0,1.0,0.0,1.0
0.05,0.5,1.0,11.8,1.98997487421324,0.0,1.0,0.0,1.0
0.05,0.6,1.0,12.1,0.9433981132056604,0.0,1.0,0.0,1.0
0.05,0.7,1.0,11.7,2.570992026436488,0.0,1.0,0.0,1.0
0.05,0.8,1.0,12.4,2.33238075793812,0.0,1.0,0.0,1.0
0.05,0.9,1.0,11.8,2.481934729198171,0.0,1.0,0.0,1.0
0.1,0.01,1.0,12.1,2.3430749027719964,0.0,1.0,0.0,1.0
0.1,0.05,1.0,12.1,1.7578395831246945,0.0,1.0,0.0,1.0
0.1,0.1,1.0,11.7,1.8466185312619388,0.0,1.0,0.0,1.0
0.1,0.2,1.0,11.8,2.2715633383201093,0.0,1.0,0.0,1.0
0.1,0.3,1.0,11.9,1.7,0.0,1.0,0.0,1.0
0.1,0.4,1.0,11.8,1.4696938456699067,0.0,1.0,0.0,1.0
0.1,0.5,1.0,12.6,2.5377155080899043,0.0,1.0,0.0,1.0
0.1,0.6,1.0,11.1,0.8306623862918076,0.0,1.0,0.0,1.0
0.1,0.7,1.0,12.5,3.2939338184001206,0.0,1.0,0.0,1.0
0.1,0.8,1.0,11.3,2.0024984394500787,0.0,1.0,0.0,1.0
0.1,0.9,1.0,11.0,1.61245154965971,0.0,1.0,0.0,1.0
0.15,0.01,1.0,11.7,2.1931712199461306,0.0,1.0,0.0,1.0
0.15,0.05,1.0,11.6,2.537715508089904,0.0,1.0,0.0,1.0
0.15,0.1,1.0,10.7,2.193171219946131,0.0,1.0,0.0,1.0
0.15,0.2,1.0,11.6,2.33238075793812,0.0,1.0,0.0,1.0
0.15,0.3,1.0,11.2,2.4,0.0,1.0,0.0,1.0
0.15,0.4,1.0,12.4,2.1071307505705477,0.0,1.0,0.0,1.0
0.15,0.5,1.0,12.2,2.1354156504062622,0.0,1.0,0.0,1.0
0.15,0.6,1.0,12.5,3.5846896657869842,0.0,1.0,0.0,1.0
0.15,0.7,1.0,12.8,2.4,0.0,1.0,0.0,1.0
0.15,0.8,1.0,11.2,2.227105745132009,0.0,1.0,0.0,1.0
0.15,0.9,1.0,11.5,1.9621416870348585,0.0,1.0,0.0,1.0
0.2,0.01,1.0,11.0,2.569046515733026,0.0,1.0,0.0,1.0
0.2,0.05,1.0,12.0,1.7320508075688772,0.0,1.0,0.0,1.0
0.2,0.1,1.0,11.2,1.1661903789690602,0.0,1.0,0.0,1.0
0.2,0.2,1.0,10.6,2.5768197453450252,0.0,1.0,0.0,1.0
0.2,0.3,1.0,11.5,1.6278820596099706,0.0,1.0,0.0,1.0
0.2,0.4,1.0,11.8,1.661324772583615,0.0,1.0,0.0,1.0
0.2,0.5,1.0,10.9,1.7578395831246945,0.0,1.0,0.0,1.0
0.2,0.6,1.0,12.3,2.8653097563788807,0.0,1.0,0.0,1.0
0.2,0.7,1.0,11.9,2.118962010041709,0.0,1.0,0.0,1.0
0.2,0.8,1.0,12.7,3.1320919526731648,0.0,1.0,0.0,1.0
0.2,0.9,1.0,13.5,2.0615528128088303,0.0,1.0,0.0,1.0
0.3,0.01,1.0,11.6,1.5620499351813308,0.0,1.0,0.0,1.0
0.3,0.05,1.0,11.8,1.7204650534085253,0.0,1.0,0.0,1.0
0.3,0.1,1.0,10.9,2.211334438749598,0.0,1.0,0.0,1.0
0.3,0.2,1.0,12.2,2.6758176320519302,0.0,1.0,0.0,1.0
0.3,0.3,1.0,12.0,2.756809750418044,0.0,1.0,0.0,1.0
0.3,0.4,1.0,11.5,1.746424919657298,0.0,1.0,0.0,1.0
0.3,0.5,1.0,12.4,2.2891046284519194,0.0,1.0,0.0,1.0
0.3,0.6,1.0,10.9,2.1656407827707715,0.0,1.0,0.0,1.0
0.3,0.7,1.0,12.1,1.972308292331602,0.0,1.0,0.0,1.0
0.3,0.8,1.0,12.0,2.23606797749979,0.0,1.0,0.0,1.0
0.3,0.9,1.0,11.5,2.202271554554524,0.0,1.0,0.0,1.0
0.4,0.01,1.0,12.2,1.6,0.0,1.0,0.0,1.0
0.4,0.05,1.0,11.1,2.0223748416156684,0.0,1.0,0.0,1.0
0.4,0.1,1.0,11.6,2.1071307505705477,0.0,1.0,0.0,1.0
0.4,0.2,1.0,12.6,2.244994432064365,0.0,1.0,0.0,1.0
0.4,0.3,1.0,11.9,2.0223748416156684,0.0,1.0,0.0,1.0
0.4,0.4,1.0,12.1,2.4269322199023193,0.0,1.0,0.0,1.0
0.4,0.5,1.0,12.7,2.0024984394500787,0.0,1.0,0.0,1.0
0.4,0.6,1.0,12.9,2.211334438749598,0.0,1.0,0.0,1.0
0.4,0.7,1.0,12.1,3.080584360149872,0.0,1.0,0.0,1.0
0.4,0.8,1.0,12.8,2.2715633383201093,0.0,1.0,0.0,1.0
0.4,0.9,1.0,12.5,2.247220505424423,0.0,1.0,0.0,1.0
0.5,0.01,1.0,12.4,1.8547236990991407,0.0,1.0,0.0,1.0
0.5,0.05,1.0,11.9,1.7578395831246947,0.0,1.0,0.0,1.0
0.5,0.1,1.0,12.3,2.1,0.0,1.0,0.0,1.0
0.5,0.2,1.0,11.1,2.4269322199023193,0.0,1.0,0.0,1.0
0.5,0.3,1.0,12.5,3.442382895611701,0.0,1.0,0.0,1.0
0.5,0.4,1.0,12.2,1.8330302779823362,0.0,1.0,0.0,1.0
0.5,0.5,1.0,12.2,1.8867962264113207,0.0,1.0,0.0,1.0
0.5,0.6,1.0,11.7,2.570992026436488,0.0,1.0,0.0,1.0
0.5,0.7,1.0,12.2,1.9390719429665315,0.0,1.0,0.0,1.0
0.5,0.8,1.0,11.7,2.3685438564654024,0.0,1.0,0.0,1.0
0.5,0.9,1.0,11.8,2.6381811916545836,0.0,1.0,0.0,1.0
0.8,0.01,1.0,10.9,1.2206555615733703,0.0,1.0,0.0,1.0
0.8,0.05,1.0,11.4,2.615339366124404,0.0,1.0,0.0,1.0
0.8,0.1,1.0,12.4,1.9078784028338913,0.0,1.0,0.0,1.0
0.8,0.2,1.0,12.5,2.1563858652847827,0.0,1.0,0.0,1.0
0.8,0.3,1.0,13.2,1.9390719429665317,0.0,1.0,0.0,1.0
0.8,0.4,1.0,12.1,1.374772708486752,0.0,1.0,0.0,1.0
0.8,0.5,1.0,12.2,1.7776388834631178,0.0,1.0,0.0,1.0
0.8,0.6,1.0,12.1,1.5132745950421556,0.0,1.0,0.0,1.0
0.8,0.7,1.0,11.3,1.3453624047073711,0.0,1.0,0.0,1.0
0.8,0.8,1.0,12.1,2.211334438749598,0.0,1.0,0.0,1.0
0.8,0.9,1.0,11.8,2.0396078054371136,0.0,1.0,0.0,1.0
1.0,0.01,1.0,12.1,2.879236009777594,0.0,1.0,0.0,1.0
1.0,0.05,1.0,12.2,2.4413111231467406,0.0,1.0,0.0,1.0
1.0,0.1,1.0,12.8,2.749545416973504,0.0,1.0,0.0,1.0
1.0,0.2,1.0,12.8,1.4000000000000001,0.0,1.0,0.0,1.0
1.0,0.3,1.0,12.3,2.3259406699226015,0.0,1.0,0.0,1.0
1.0,0.4,1.0,12.4,1.8547236990991407,0.0,1.0,0.0,1.0
1.0,0.5,1.0,11.0,2.449489742783178,0.0,1.0,0.0,1.0
1.0,0.6,1.0,11.2,2.2715633383201093,0.0,1.0,0.0,1.0
1.0,0.7,1.0,12.3,1.9519221295943134,0.0,1.0,0.0,1.0
1.0,0.8,1.0,11.8,2.0880613017821097,0.0,1.0,0.0,1.0
1.0,0.9,1.0,12.3,2.570992026436488,0.0,1.0,0.0,1.0
