opinion_param_1,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.001,5,1.0,10.7,4.450842616853577,0.0,1.0,0.0,0.0
0.01,0.005,4,1.0,11.4,4.079215610874227,0.0,1.0,0.0,0.0
0.01,0.01,5,1.0,10.4,4.363484845854286,0.0,1.0,0.0,0.0
0.01,0.05,6,1.0,10.9,3.3,0.0,1.0,0.0,0.0
0.05,0.001,5,1.0,11.0,3.5777087639996634,0.0,1.0,0.0,0.0
0.05,0.005,5,1.0,11.5,4.759201613716317,0.0,1.0,0.0,0.0
0.05,0.01,5,1.0,11.7,3.1638584039112754,0.0,1.0,0.0,0.0
0.05,0.05,5,1.0,11.8,3.026549190084311,0.0,1.0,0.0,0.0
0.1,0.001,5,1.0,11.7,3.0675723300355937,0.0,1.0,0.0,0.0
0.1,0.005,5,1.0,11.2,2.2715633383201093,0.0,1.0,0.0,0.0
0.1,0.01,5,1.0,10.4,3.1999999999999997,0.0,1.0,0.0,0.0
0.1,0.05,5,1.0,12.0,3.6606010435446255,0.0,1.0,0.0,0.0
0.15,0.001,5,1.0,11.7,2.4103941586387903,0.0,1.0,0.0,0.0
0.15,0.005,5,1.0,11.1,3.78021163428716,0.0,1.0,0.0,0.0
0.15,0.01,5,1.0,10.6,2.65329983228432,0.0,1.0,0.0,0.0
0.15,0.05,5,1.0,11.3,3.63455636907725,0.0,1.0,0.0,0.0
0.2,0.001,5,1.0,11.0,3.9496835316262997,0.0,1.0,0.0,0.0
0.2,0.005,5,1.0,10.2,4.166533331199932,0.0,1.0,0.0,0.0
0.2,0.01,5,1.0,11.1,2.7730849247724096,0.0,1.0,0.0,0.0
0.2,0.05,5,1.0,11.9,3.5623026261113755,0.0,1.0,0.0,0.0
0.3,0.001,6,1.0,10.0,3.3166247903554,0.0,1.0,0.0,0.0
0.3,0.005,5,1.0,11.7,4.495553358597805,0.0,1.0,0.0,0.0
0.3,0.01,5,1.0,12.7,3.8223029707232783,0.0,1.0,0.0,0.0
0.3,0.05,5,1.0,11.8,2.85657137141714,0.0,1.0,0.0,0.0
0.4,0.001,5,1.0,10.2,2.481934729198171,0.0,1.0,0.0,0.0
0.4,0.005,5,1.0,11.6,3.2924155266308657,0.0,1.0,0.0,0.0
0.4,0.01,5,1.0,14.1,3.014962686336267,0.0,1.0,0.0,0.0
0.4,0.05,4,1.0,9.7,3.7429934544425802,0.0,1.0,0.0,0.0
0.5,0.001,5,1.0,13.4,3.746998799039039,0.0,1.0,0.0,0.0
0.5,0.005,5,1.0,12.8,4.214261501141095,0.0,1.0,0.0,0.0
0.5,0.01,5,1.0,11.1,3.83275357934736,0.0,1.0,0.0,0.0
0.5,0.05,5,1.0,11.2,3.026549190084311,0.0,1.0,0.0,0.0
0.8,0.001,5,1.0,10.4,2.5377155080899043,0.0,1.0,0.0,0.0
0.8,0.005,5,1.0,11.4,4.5431266766402185,0.0,1.0,0.0,0.0
0.8,0.01,4,1.0,11.6,4.127953488110059,0.0,1.0,0.0,0.0
0.8,0.05,5,1.0,10.2,3.682390527904394,0.0,1.0,0.0,0.0
1.0,0.001,5,1.0,11.4,4.841487374764082,0.0,1.0,0.0,0.0
1.0,0.005,5,1.0,12.8,2.481934729198171,0.0,1.0,0.0,0.0
1.0,0.01,6,1.0,12.4,4.586937976471886,0.0,1.0,0.0,0.0
1.0,0.05,5,1.0,11.1,3.2078029864690882,0.0,1.0,0.0,0.0
