opinion_param_1,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.001,5,1.0,11.0,3.286335345030997,0.0,1.0,0.0,0.0
0.01,0.005,5,1.0,11.3,2.794637722496424,0.0,1.0,0.0,0.0
0.01,0.01,5,1.0,12.6,4.029888335921977,0.0,1.0,0.0,0.0
0.01,0.05,5,1.0,12.1,4.205948168962618,0.0,1.0,0.0,0.0
0.05,0.001,5,1.0,11.3,3.0675723300355937,0.0,1.0,0.0,0.0
0.05,0.005,5,1.0,11.7,3.1320919526731648,0.0,1.0,0.0,0.0
0.05,0.01,5,1.0,12.7,4.243819034784589,0.0,1.0,0.0,0.0
0.05,0.05,6,1.0,11.8,3.6,0.0,1.0,0.0,0.0
0.1,0.001,5,1.0,12.5,2.9410882339705484,0.0,1.0,0.0,0.0
0.1,0.005,5,1.0,11.3,2.9681644159311658,0.0,1.0,0.0,0.0
0.1,0.01,5,1.0,10.2,2.5219040425836985,0.0,1.0,0.0,0.0
0.1,0.05,5,1.0,11.9,7.917701686727027,0.0,1.0,0.0,0.0
0.15,0.001,5,1.0,10.1,2.5865034312755126,0.0,1.0,0.0,0.0
0.15,0.005,5,1.0,9.8,1.98997487421324,0.0,1.0,0.0,0.0
0.15,0.01,5,1.0,9.7,3.3181320046074116,0.0,1.0,0.0,0.0
0.15,0.05,4,1.0,10.6,2.8000000000000003,0.0,1.0,0.0,0.0
0.2,0.001,5,1.0,9.9,2.808914381037628,0.0,1.0,0.0,0.0
0.2,0.005,5,1.0,10.5,2.247220505424423,0.0,1.0,0.0,0.0
0.2,0.01,5,1.0,10.2,2.481934729198171,0.0,1.0,0.0,0.0
0.2,0.05,5,1.0,12.1,4.1340053217188775,0.0,1.0,0.0,0.0
0.3,0.001,5,1.0,10.1,3.961060464067672,0.0,1.0,0.0,0.0
0.3,0.005,5,1.0,11.1,2.947880594596735,0.0,1.0,0.0,0.0
0.3,0.01,5,1.0,11.0,3.3166247903554,0.0,1.0,0.0,0.0
0.3,0.05,5,1.0,10.1,3.3000000000000003,0.0,1.0,0.0,0.0
0.4,0.001,5,1.0,12.5,3.442382895611701,0.0,1.0,0.0,0.0
0.4,0.005,5,1.0,9.6,3.49857113690718,0.0,1.0,0.0,0.0
0.4,0.01,5,1.0,11.2,3.54400902933387,0.0,1.0,0.0,0.0
0.4,0.05,5,1.0,11.4,3.903844259188627,0.0,1.0,0.0,0.0
0.5,0.001,5,1.0,13.1,3.477067730142742,0.0,1.0,0.0,0.0
0.5,0.005,5,1.0,11.7,3.2264531609803355,0.0,1.0,0.0,0.0
0.5,0.01,5,1.0,13.9,3.8845849199110063,0.0,1.0,0.0,0.0
0.5,0.05,5,1.0,10.3,2.9681644159311658,0.0,1.0,0.0,0.0
0.8,0.001,5,1.0,11.1,3.3000000000000003,0.0,1.0,0.0,0.0
0.8,0.005,5,1.0,8.4,3.638681079732051,0.0,1.0,0.0,0.0
0.8,0.01,5,1.0,12.6,3.8781438859330635,0.0,1.0,0.0,0.0
0.8,0.05,5,1.0,13.3,4.838388161361178,0.0,1.0,0.0,0.0
1.0,0.001,5,1.0,12.0,3.3763886032268267,0.0,1.0,0.0,0.0
1.0,0.005,5,1.0,11.6,2.4979991993593593,0.0,1.0,0.0,0.0
1.0,0.01,5,1.0,10.7,3.132091952673165,0.0,1.0,0.0,0.0
1.0,0.05,5,1.0,11.7,2.9681644159311658,0.0,1.0,0.0,0.0
