opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.01,0.001,3,1.0,40.7,9.63379468330107,0.0,0.0,0.0,1.0
0.01,0.01,0.01,3,1.0,55.3,17.86644900364927,0.0,0.0,0.1,0.9
0.01,0.01,0.05,3,0.8,51.5,23.850576512948276,0.2,0.0,0.1,0.7
0.01,0.01,0.1,3,0.9,56.6,22.262973745661203,0.1,0.0,0.1,0.8
0.01,0.01,0.2,3,1.0,38.7,14.886571129712847,0.0,0.0,0.8,0.2
0.01,0.01,0.5,7,1.0,43.5,18.634645153584223,0.0,0.0,0.1,0.9
0.02,0.02,0.001,7,1.0,35.5,10.259142264341596,0.0,0.0,0.2,0.8
0.02,0.02,0.01,3,1.0,54.4,19.900753754569198,0.0,0.0,0.0,1.0
0.02,0.02,0.05,5,1.0,53.0,22.239604313026796,0.0,0.0,0.1,0.9
0.02,0.02,0.1,3,1.0,51.8,19.898743678936114,0.0,0.0,0.2,0.8
0.02,0.02,0.2,7,0.9,64.9,25.29209362626985,0.1,0.0,0.1,0.8
0.02,0.02,0.5,3,0.9,63.5,24.14642830730872,0.1,0.0,0.3,0.6
0.05,0.05,0.001,7,0.9,58.2,24.30555492063491,0.1,0.0,0.0,0.9
0.05,0.05,0.01,3,1.0,47.3,18.06128456118224,0.0,0.0,0.1,0.9
0.05,0.05,0.05,3,0.9,48.4,24.78386571945547,0.1,0.0,0.0,0.9
0.05,0.05,0.1,3,1.0,49.1,19.413654988177782,0.0,0.0,0.0,1.0
0.05,0.05,0.2,3,1.0,46.4,11.324310133513652,0.0,0.0,0.0,1.0
0.05,0.05,0.5,3,0.9,62.2,26.772373820787728,0.1,0.0,0.2,0.7
0.1,0.1,0.001,3,1.0,52.3,17.686435480333508,0.0,0.0,0.0,1.0
0.1,0.1,0.01,7,1.0,59.9,22.01567623308446,0.0,0.0,0.0,1.0
0.1,0.1,0.05,3,1.0,47.6,19.703806738800502,0.0,0.0,0.1,0.9
0.1,0.1,0.1,7,1.0,46.9,15.65535052306399,0.0,0.0,0.0,1.0
0.1,0.1,0.2,3,1.0,54.9,22.523099253877117,0.0,0.0,0.0,1.0
0.1,0.1,0.5,7,0.9,52.4,20.105720578979504,0.1,0.0,0.0,0.9
0.2,0.2,0.001,7,1.0,43.5,12.674778104566565,0.0,0.0,0.0,1.0
0.2,0.2,0.01,7,1.0,50.7,14.986994361779148,0.0,0.0,0.3,0.7
