opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.01,0.001,4,1.0,18.9,5.629387178015028,0.0,0.0,0.0,1.0
0.01,0.01,0.01,5,1.0,18.3,5.514526271584894,0.0,0.0,0.0,1.0
0.01,0.01,0.05,5,1.0,17.1,4.90815647672321,0.0,0.0,0.0,1.0
0.01,0.01,0.1,7,1.0,17.8,3.7629775444453557,0.0,0.0,0.0,1.0
0.01,0.01,0.2,5,1.0,16.9,3.5623026261113755,0.0,0.0,0.0,1.0
0.01,0.01,0.5,4,1.0,16.8,5.758472019555188,0.0,0.0,0.0,1.0
0.02,0.02,0.001,4,1.0,16.9,5.539855593785816,0.0,0.0,0.0,1.0
0.02,0.02,0.01,4,1.0,17.1,3.477067730142742,0.0,0.0,0.0,1.0
0.02,0.02,0.05,5,1.0,16.8,3.815756805667782,0.0,0.0,0.0,1.0
0.02,0.02,0.1,5,1.0,16.6,4.2708313008125245,0.0,0.0,0.0,1.0
0.02,0.02,0.2,5,1.0,17.4,2.4576411454889016,0.0,0.0,0.0,1.0
0.02,0.02,0.5,4,1.0,14.2,4.578209256903839,0.0,0.0,0.0,1.0
0.05,0.05,0.001,7,1.0,17.6,4.004996878900157,0.0,0.0,0.0,1.0
0.05,0.05,0.01,7,1.0,17.6,5.314132102234569,0.0,0.0,0.0,1.0
0.05,0.05,0.05,6,1.0,16.0,3.7682887362833544,0.0,0.0,0.0,1.0
0.05,0.05,0.1,5,1.0,16.9,3.5902646142032486,0.0,0.0,0.0,1.0
0.05,0.05,0.2,4,1.0,17.2,3.994996871087636,0.0,0.0,0.0,1.0
0.05,0.05,0.5,7,1.0,17.2,4.955804677345546,0.0,0.0,0.0,1.0
0.1,0.1,0.001,6,1.0,18.0,3.0983866769659336,0.0,0.0,0.0,1.0
0.1,0.1,0.01,7,1.0,18.7,6.261788881781308,0.0,0.0,0.0,1.0
0.1,0.1,0.05,4,1.0,19.8,10.37111372997134,0.0,0.0,0.0,1.0
0.1,0.1,0.1,4,1.0,15.6,5.44426303552648,0.0,0.0,0.0,1.0
0.1,0.1,0.2,5,1.0,20.4,7.2277243998370615,0.0,0.0,0.0,1.0
0.1,0.1,0.5,4,1.0,16.6,3.2,0.0,0.0,0.0,1.0
0.2,0.2,0.001,7,1.0,15.7,4.838388161361178,0.0,0.0,0.0,1.0
0.2,0.2,0.01,4,1.0,18.0,4.516635916254486,0.0,0.0,0.0,1.0
0.2,0.2,0.05,6,1.0,16.4,3.7735924528226414,0.0,0.0,0.0,1.0
0.2,0.2,0.1,7,1.0,16.3,3.6891733491393435,0.0,0.0,0.0,1.0
0.2,0.2,0.2,6,1.0,16.6,3.903844259188627,0.0,0.0,0.0,1.0
0.2,0.2,0.5,5,1.0,16.9,3.8587562763149474,0.0,0.0,0.0,1.0
0.5,0.5,0.001,6,1.0,17.9,4.459820624195551,0.0,0.0,0.0,1.0
0.5,0.5,0.01,4,1.0,18.1,3.806573262134856,0.0,0.0,0.0,1.0
0.5,0.5,0.05,5,1.0,18.1,4.846648326421054,0.0,0.0,0.0,1.0
0.5,0.5,0.1,4,1.0,16.4,4.963869458396343,0.0,0.0,0.0,1.0
0.5,0.5,0.2,5,1.0,17.2,4.166533331199932,0.0,0.0,0.0,1.0
0.5,0.5,0.5,4,1.0,20.1,6.609841147864296,0.0,0.0,0.0,1.0
1,1,0.001,4,1.0,16.8,5.473572873361604,0.0,0.0,0.0,1.0
1,1,0.01,5,1.0,17.3,5.692978130996114,0.0,0.0,0.0,1.0
1,1,0.05,7,1.0,16.2,5.528109984434102,0.0,0.0,0.0,1.0
1,1,0.1,4,1.0,16.0,4.774934554525329,0.0,0.0,0.0,1.0
1,1,0.2,5,1.0,19.9,5.575840743780259,0.0,0.0,0.0,1.0
1,1,0.5,4,1.0,15.9,3.3600595232822887,0.0,0.0,0.0,1.0
0.01,0.01,0.001,4,1.0,17.4,5.5533773507659285,0.0,0.0,0.0,1.0
0.01,0.01,0.01,7,1.0,16.3,4.583666654546335,0.0,0.0,0.0,1.0
0.01,0.01,0.05,4,1.0,17.7,6.229767250869008,0.0,0.0,0.0,1.0
0.01,0.01,0.1,5,1.0,16.8,3.57211421989835,0.0,0.0,0.0,1.0
0.01,0.01,0.2,5,1.0,16.1,3.3,0.0,0.0,0.0,1.0
0.01,0.01,0.5,4,1.0,16.5,3.3541019662496847,0.0,0.0,0.0,1.0
0.02,0.02,0.001,5,1.0,16.4,4.673328578219169,0.0,0.0,0.0,1.0
0.02,0.02,0.01,4,1.0,18.1,6.090155991434045,0.0,0.0,0.0,1.0
0.02,0.02,0.05,4,1.0,17.1,6.122907805936653,0.0,0.0,0.0,1.0
0.02,0.02,0.1,5,1.0,17.1,4.90815647672321,0.0,0.0,0.0,1.0
0.02,0.02,0.2,5,1.0,16.8,5.173006862551025,0.0,0.0,0.0,1.0
0.02,0.02,0.5,7,1.0,15.1,2.3853720883753127,0.0,0.0,0.0,1.0
0.05,0.05,0.001,4,1.0,16.8,4.621688003316537,0.0,0.0,0.0,1.0
0.05,0.05,0.01,5,1.0,19.3,8.149233092751734,0.0,0.0,0.0,1.0
0.05,0.05,0.05,6,1.0,14.6,2.8,0.0,0.0,0.0,1.0
0.05,0.05,0.1,4,1.0,18.5,4.652956049652737,0.0,0.0,0.0,1.0
0.05,0.05,0.2,5,1.0,16.5,4.224926034855522,0.0,0.0,0.0,1.0
0.05,0.05,0.5,5,1.0,16.5,3.930648801406709,0.0,0.0,0.0,1.0
0.1,0.1,0.001,7,1.0,19.1,4.678675026115834,0.0,0.0,0.0,1.0
0.1,0.1,0.01,7,1.0,16.6,3.3226495451672298,0.0,0.0,0.0,1.0
0.1,0.1,0.05,4,1.0,17.3,3.4365680554879168,0.0,0.0,0.0,1.0
0.1,0.1,0.1,4,1.0,16.6,3.8000000000000003,0.0,0.0,0.0,1.0
0.1,0.1,0.2,4,1.0,17.8,5.173006862551025,0.0,0.0,0.0,1.0
0.1,0.1,0.5,5,1.0,18.6,3.954743986657038,0.0,0.0,0.0,1.0
0.2,0.2,0.001,5,1.0,15.8,3.0919249667480613,0.0,0.0,0.0,1.0
0.2,0.2,0.01,5,1.0,17.3,5.348831648126533,0.0,0.0,0.0,1.0
0.2,0.2,0.05,4,1.0,18.8,6.161168720299745,0.0,0.0,0.0,1.0
0.2,0.2,0.1,4,1.0,16.4,4.2708313008125245,0.0,0.0,0.0,1.0
0.2,0.2,0.2,6,1.0,18.5,5.5901699437494745,0.0,0.0,0.0,1.0
0.2,0.2,0.5,4,1.0,17.7,2.193171219946131,0.0,0.0,0.0,1.0
0.5,0.5,0.001,4,1.0,16.0,4.404543109109048,0.0,0.0,0.0,1.0
0.5,0.5,0.01,4,1.0,15.9,4.036087214122113,0.0,0.0,0.0,1.0
0.5,0.5,0.05,5,1.0,16.4,3.720215047547655,0.0,0.0,0.0,1.0
0.5,0.5,0.1,5,1.0,17.1,3.8587562763149474,0.0,0.0,0.0,1.0
0.5,0.5,0.2,4,1.0,16.4,4.431703961232067,0.0,0.0,0.0,1.0
0.5,0.5,0.5,7,1.0,16.9,6.759437846448476,0.0,0.0,0.0,1.0
1,1,0.001,6,1.0,16.9,3.419064199455752,0.0,0.0,0.0,1.0
1,1,0.01,5,1.0,17.1,2.5865034312755126,0.0,0.0,0.0,1.0
1,1,0.05,4,1.0,17.1,3.419064199455752,0.0,0.0,0.0,1.0
1,1,0.1,4,1.0,18.6,3.9293765408777,0.0,0.0,0.0,1.0
1,1,0.2,4,1.0,16.9,2.3853720883753127,0.0,0.0,0.0,1.0
1,1,0.5,4,1.0,18.0,3.4641016151377544,0.0,0.0,0.0,1.0
0.01,0.01,0.001,5,1.0,16.0,3.1937438845342623,0.0,0.0,0.0,1.0
0.01,0.01,0.01,6,1.0,16.6,4.176122603564219,0.0,0.0,0.0,1.0
0.01,0.01,0.05,4,1.0,17.0,3.872983346207417,0.0,0.0,0.0,1.0
0.01,0.01,0.1,5,1.0,17.7,4.050925820105819,0.0,0.0,0.0,1.0
0.01,0.01,0.2,3,1.0,17.9,3.5623026261113755,0.0,0.0,0.0,1.0
0.01,0.01,0.5,4,1.0,19.3,8.013114251026252,0.0,0.0,0.0,1.0
0.02,0.02,0.001,5,1.0,17.0,4.979959839195493,0.0,0.0,0.0,1.0
0.02,0.02,0.01,5,1.0,16.5,3.556683848755748,0.0,0.0,0.0,1.0
0.02,0.02,0.05,5,1.0,17.9,5.61159513863928,0.0,0.0,0.0,1.0
0.02,0.02,0.1,4,1.0,18.2,7.068238818828917,0.0,0.0,0.0,1.0
0.02,0.02,0.2,6,1.0,14.8,2.7856776554368237,0.0,0.0,0.0,1.0
0.02,0.02,0.5,5,1.0,18.8,3.7894590642992836,0.0,0.0,0.0,1.0
0.05,0.05,0.001,4,1.0,17.9,6.220128616033595,0.0,0.0,0.0,1.0
0.05,0.05,0.01,5,1.0,16.2,3.8678159211627436,0.0,0.0,0.0,1.0
0.05,0.05,0.05,4,1.0,17.2,4.377213725647858,0.0,0.0,0.0,1.0
0.05,0.05,0.1,6,1.0,16.0,5.9833101206606365,0.0,0.0,0.0,1.0
0.05,0.05,0.2,4,1.0,19.7,3.689173349139344,0.0,0.0,0.0,1.0
0.05,0.05,0.5,5,1.0,17.3,5.330103188494572,0.0,0.0,0.0,1.0
0.1,0.1,0.001,5,1.0,18.0,6.928203230275509,0.0,0.0,0.0,1.0
