opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.01,0.001,5,1.0,50.9,12.128066622508305,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,39.6,9.457272334029511,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,0.9,46.2,20.247468977627793,0.1,0.0,0.9,0.0
0.01,0.01,0.01,5,1.0,48.8,13.105723940324701,0.0,0.0,1.0,0.0
0.01,0.01,0.02,5,1.0,46.6,13.646977687385585,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,0.9,49.6,18.320480343047777,0.1,0.0,0.9,0.0
0.02,0.02,0.001,5,1.0,45.1,8.768694315575154,0.0,0.0,1.0,0.0
0.02,0.02,0.002,4,1.0,44.5,5.714017850864661,0.0,0.0,1.0,0.0
0.02,0.02,0.005,6,1.0,45.2,5.844655678480984,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,43.4,8.296987405076615,0.0,0.0,1.0,0.0
0.02,0.02,0.02,5,1.0,45.1,10.501904589168577,0.0,0.0,1.0,0.0
0.02,0.02,0.05,4,1.0,44.8,12.40806189539688,0.0,0.0,1.0,0.0
0.05,0.05,0.001,5,1.0,38.5,6.119640512317697,0.0,0.0,1.0,0.0
0.05,0.05,0.002,5,1.0,42.3,10.611785900591851,0.0,0.0,1.0,0.0
0.05,0.05,0.005,5,1.0,37.7,6.8854919940408035,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,1.0,44.2,10.998181667894016,0.0,0.0,1.0,0.0
0.05,0.05,0.02,7,1.0,42.4,12.208193969625482,0.0,0.0,1.0,0.0
0.05,0.05,0.05,5,1.0,43.3,8.614522621712709,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,1.0,53.3,14.993665329064806,0.0,0.0,1.0,0.0
0.1,0.1,0.002,5,0.9,52.4,21.900684920796426,0.1,0.0,0.9,0.0
0.1,0.1,0.005,5,1.0,42.8,18.583863968507735,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,54.6,14.595889832415152,0.0,0.0,1.0,0.0
