opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.01,0.005,5,1.0,50.4,15.357083056361974,0.0,0.0,1.0,0.0
0.01,0.01,0.001,6,1.0,52.5,11.672617529928752,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,55.1,17.896647730790257,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,1.0,50.4,15.357083056361974,0.0,0.0,1.0,0.0
0.01,0.01,0.01,6,1.0,51.3,16.929559947027567,0.0,0.0,1.0,0.0
0.01,0.01,0.02,5,1.0,51.4,10.95627673984187,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,1.0,46.4,8.138795979750322,0.0,0.0,1.0,0.0
0.02,0.02,0.001,4,1.0,59.3,9.000555538409838,0.0,0.0,1.0,0.0
0.02,0.02,0.002,5,1.0,52.8,12.560254774486065,0.0,0.0,1.0,0.0
0.02,0.02,0.005,5,1.0,50.9,16.973214191778762,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,46.8,15.282669923805853,0.0,0.0,1.0,0.0
0.02,0.02,0.02,5,1.0,60.7,18.1551645544732,0.0,0.0,1.0,0.0
0.02,0.02,0.05,5,0.9,50.2,19.492562684264993,0.1,0.0,0.9,0.0
0.05,0.05,0.001,5,0.9,57.5,19.88592467047987,0.1,0.0,0.9,0.0
0.05,0.05,0.002,5,0.8,60.1,19.398195792392652,0.2,0.0,0.8,0.0
0.05,0.05,0.005,6,1.0,50.9,16.3,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,0.9,67.1,16.92010638264429,0.1,0.0,0.9,0.0
0.05,0.05,0.02,5,1.0,60.6,17.596590578859303,0.0,0.0,1.0,0.0
0.05,0.05,0.05,4,0.9,50.1,18.343663756185673,0.1,0.0,0.9,0.0
0.1,0.1,0.001,5,0.9,61.7,20.610919436065924,0.1,0.0,0.9,0.0
0.1,0.1,0.002,5,1.0,51.5,13.0862523283024,0.0,0.0,1.0,0.0
0.1,0.1,0.005,5,1.0,46.8,11.160645142642965,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,53.1,18.63571839237758,0.0,0.0,1.0,0.0
0.1,0.1,0.02,6,1.0,59.5,17.912286286233815,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,1.0,55.4,16.16292052817188,0.0,0.0,1.0,0.0
0.2,0.2,0.001,5,0.9,49.7,16.087572843657927,0.1,0.0,0.9,0.0
0.2,0.2,0.002,5,1.0,52.5,13.260844618650804,0.0,0.0,1.0,0.0
0.2,0.2,0.005,5,0.9,57.3,20.10994778710278,0.1,0.0,0.9,0.0
0.2,0.2,0.01,5,0.9,54.7,20.938242524147054,0.1,0.0,0.9,0.0
